Tuyen_duong,Dijkstra_avg_ms,BMSSP_avg_ms,Ratio,Dijkstra_nodes,BMSSP_nodes,Dijkstra_dist_km,BMSSP_dist_km,Dijkstra_min_ms,BMSSP_min_ms,Dijkstra_max_ms,BMSSP_max_ms,,Winner
Ho Con Rua - Dinh Doc Lap,278.7896,1858.4426,6.67,16,16,0.618,0.618,183.8743,1648.5828,425.481,2082.9629,,Dijkstra
Ben Thanh - Nha Tho Duc Ba,193.7383,2352.1319,12.14,18,18,1.1303,1.1303,168.4146,1666.7666,217.6141,3129.5563,,Dijkstra
BV Cho Ray - DH Y Duoc,225.863,2141.5733,9.48,23,23,0.799,0.799,149.6997,1528.4313,278.9765,2553.603,,Dijkstra
Phu My Hung - Lotte Mart Quan 7,183.8913,1336.4471,7.27,15,15,1.0227,1.0227,155.3463,825.0886,232.9875,1621.9391,,Dijkstra
Cho Kim Bien - Cho Binh Tay,229.9173,1984.1078,8.63,5,5,0.5219,0.5219,171.026,1179.9033,370.0451,2576.7219,,Dijkstra
DH Bach Khoa - Lang Cha Ca,226.4916,2033.2229,8.98,88,88,4.0189,4.0189,155.3971,1581.6988,384.9973,2497.0195,,Dijkstra
Cong vien Gia Dinh - DH Mo TPHCM (co so Vo Van Tan),259.3307,2472.3559,9.53,111,111,4.9917,4.9917,214.8001,1789.9474,384.6135,3090.2113,,Dijkstra
Ben Thanh - BV Cho Ray,220.2787,2026.8766,9.2,102,102,5.186,5.186,163.4411,1527.2906,333.4587,2624.2829,,Dijkstra
Cong vien Gia Dinh - Lotte Mart Quan 7,271.4632,2307.2336,8.5,191,191,9.7298,9.7298,196.8698,1396.9006,340.8096,2900.6076,,Dijkstra
San bay Tan Son Nhat - DH Mo (co so Nha Be),192.5626,2028.3081,10.53,298,298,18.6827,18.6827,150.0998,1183.4929,259.4264,2706.8478,,Dijkstra
