Tuyen_duong,Run,Dijkstra_ms,BMSSP_ms
Ho Con Rua - Dinh Doc Lap,1,307.4153,1648.5828
Ho Con Rua - Dinh Doc Lap,2,319.6342,1713.8595
Ho Con Rua - Dinh Doc Lap,3,264.9909,1969.2909
Ho Con Rua - Dinh Doc Lap,4,209.5918,1812.8881
Ho Con Rua - Dinh Doc Lap,5,183.8743,1872.7818
Ho Con Rua - Dinh Doc Lap,6,279.7935,2015.0085
Ho Con Rua - Dinh Doc Lap,7,425.4810,1802.4819
Ho Con Rua - Dinh Doc Lap,8,195.3819,2082.9629
Ho Con Rua - Dinh Doc Lap,9,324.0195,1956.6625
Ho Con Rua - Dinh Doc Lap,10,277.7137,1709.9073
Ben Thanh - Nha Tho Duc Ba,1,176.4067,1666.7666
Ben Thanh - Nha Tho Duc Ba,2,170.7227,2459.3887
Ben Thanh - Nha Tho Duc Ba,3,213.4318,2531.5401
Ben Thanh - Nha Tho Duc Ba,4,193.6745,2622.8236
Ben Thanh - Nha Tho Duc Ba,5,172.3272,2512.0377
Ben Thanh - Nha Tho Duc Ba,6,213.9285,2345.0323
Ben Thanh - Nha Tho Duc Ba,7,217.6141,2443.4750
Ben Thanh - Nha Tho Duc Ba,8,168.4146,3129.5563
Ben Thanh - Nha Tho Duc Ba,9,205.2964,1868.5674
Ben Thanh - Nha Tho Duc Ba,10,205.5665,1942.1313
BV Cho Ray - DH Y Duoc,1,265.3622,2446.4426
BV Cho Ray - DH Y Duoc,2,216.7666,2553.6030
BV Cho Ray - DH Y Duoc,3,169.0994,2486.9263
BV Cho Ray - DH Y Duoc,4,149.6997,2396.0544
BV Cho Ray - DH Y Duoc,5,216.5243,1665.8301
BV Cho Ray - DH Y Duoc,6,267.1988,1706.4423
BV Cho Ray - DH Y Duoc,7,278.9765,2125.4939
BV Cho Ray - DH Y Duoc,8,231.2146,2490.2022
BV Cho Ray - DH Y Duoc,9,231.8688,2016.3064
BV Cho Ray - DH Y Duoc,10,231.9189,1528.4313
Phu My Hung - Lotte Mart Quan 7,1,183.4135,825.0886
Phu My Hung - Lotte Mart Quan 7,2,159.7035,1524.0829
Phu My Hung - Lotte Mart Quan 7,3,164.8911,1256.9558
Phu My Hung - Lotte Mart Quan 7,4,155.3463,1337.2815
Phu My Hung - Lotte Mart Quan 7,5,192.7192,1528.6543
Phu My Hung - Lotte Mart Quan 7,6,171.7542,1111.2517
Phu My Hung - Lotte Mart Quan 7,7,232.9875,1621.9391
Phu My Hung - Lotte Mart Quan 7,8,217.2927,1392.2582
Phu My Hung - Lotte Mart Quan 7,9,170.9751,1476.2976
Phu My Hung - Lotte Mart Quan 7,10,189.8296,1290.6616
Cho Kim Bien - Cho Binh Tay,1,174.8237,2576.7219
Cho Kim Bien - Cho Binh Tay,2,242.1255,2022.3576
Cho Kim Bien - Cho Binh Tay,3,207.5675,2027.4948
Cho Kim Bien - Cho Binh Tay,4,187.8187,2263.6426
Cho Kim Bien - Cho Binh Tay,5,205.5689,1730.9658
Cho Kim Bien - Cho Binh Tay,6,226.0888,1653.1926
Cho Kim Bien - Cho Binh Tay,7,370.0451,1672.2871
Cho Kim Bien - Cho Binh Tay,8,171.0260,2291.2417
Cho Kim Bien - Cho Binh Tay,9,215.4462,2423.2707
Cho Kim Bien - Cho Binh Tay,10,298.6624,1179.9033
DH Bach Khoa - Lang Cha Ca,1,204.8543,2302.1633
DH Bach Khoa - Lang Cha Ca,2,200.6716,2173.9513
DH Bach Khoa - Lang Cha Ca,3,265.5746,1592.4280
DH Bach Khoa - Lang Cha Ca,4,203.8860,1732.5204
DH Bach Khoa - Lang Cha Ca,5,193.7116,1979.5618
DH Bach Khoa - Lang Cha Ca,6,155.3971,2427.3977
DH Bach Khoa - Lang Cha Ca,7,384.9973,1923.2025
DH Bach Khoa - Lang Cha Ca,8,232.1944,1581.6988
DH Bach Khoa - Lang Cha Ca,9,160.2728,2497.0195
DH Bach Khoa - Lang Cha Ca,10,263.3559,2122.2861
Cong vien Gia Dinh - DH Mo TPHCM (co so Vo Van Tan),1,263.8410,3077.3219
Cong vien Gia Dinh - DH Mo TPHCM (co so Vo Van Tan),2,242.6196,3090.2113
Cong vien Gia Dinh - DH Mo TPHCM (co so Vo Van Tan),3,214.8001,1939.0666
Cong vien Gia Dinh - DH Mo TPHCM (co so Vo Van Tan),4,220.7774,1948.7499
Cong vien Gia Dinh - DH Mo TPHCM (co so Vo Van Tan),5,261.1714,2058.5126
Cong vien Gia Dinh - DH Mo TPHCM (co so Vo Van Tan),6,384.6135,2957.7584
Cong vien Gia Dinh - DH Mo TPHCM (co so Vo Van Tan),7,262.5637,2136.7987
Cong vien Gia Dinh - DH Mo TPHCM (co so Vo Van Tan),8,254.0861,1789.9474
Cong vien Gia Dinh - DH Mo TPHCM (co so Vo Van Tan),9,259.3409,2999.6063
Cong vien Gia Dinh - DH Mo TPHCM (co so Vo Van Tan),10,229.4928,2725.5855
Ben Thanh - BV Cho Ray,1,194.3204,1527.2906
Ben Thanh - BV Cho Ray,2,163.4411,1590.4659
Ben Thanh - BV Cho Ray,3,191.9711,2067.3670
Ben Thanh - BV Cho Ray,4,333.4587,2589.9793
Ben Thanh - BV Cho Ray,5,193.0175,1899.1398
Ben Thanh - BV Cho Ray,6,247.2864,1611.6947
Ben Thanh - BV Cho Ray,7,211.5298,2408.1999
Ben Thanh - BV Cho Ray,8,235.6231,2125.0031
Ben Thanh - BV Cho Ray,9,195.5110,1825.3427
Ben Thanh - BV Cho Ray,10,236.6282,2624.2829
Cong vien Gia Dinh - Lotte Mart Quan 7,1,340.8096,2149.9998
Cong vien Gia Dinh - Lotte Mart Quan 7,2,258.6359,1932.1428
Cong vien Gia Dinh - Lotte Mart Quan 7,3,220.2489,2226.8340
Cong vien Gia Dinh - Lotte Mart Quan 7,4,328.5713,2732.9752
Cong vien Gia Dinh - Lotte Mart Quan 7,5,298.3829,2296.0304
Cong vien Gia Dinh - Lotte Mart Quan 7,6,196.8698,2076.2837
Cong vien Gia Dinh - Lotte Mart Quan 7,7,271.4872,2777.9811
Cong vien Gia Dinh - Lotte Mart Quan 7,8,219.4514,1396.9006
Cong vien Gia Dinh - Lotte Mart Quan 7,9,339.5639,2900.6076
Cong vien Gia Dinh - Lotte Mart Quan 7,10,240.6115,2582.5809
San bay Tan Son Nhat - DH Mo (co so Nha Be),1,259.4264,2706.8478
San bay Tan Son Nhat - DH Mo (co so Nha Be),2,184.6963,2337.4920
San bay Tan Son Nhat - DH Mo (co so Nha Be),3,237.3253,1765.7758
San bay Tan Son Nhat - DH Mo (co so Nha Be),4,237.8695,2104.1976
San bay Tan Son Nhat - DH Mo (co so Nha Be),5,218.1923,2171.4868
San bay Tan Son Nhat - DH Mo (co so Nha Be),6,159.9557,2306.9793
San bay Tan Son Nhat - DH Mo (co so Nha Be),7,156.6074,1183.4929
San bay Tan Son Nhat - DH Mo (co so Nha Be),8,164.1530,1851.3532
San bay Tan Son Nhat - DH Mo (co so Nha Be),9,150.0998,2559.1873
San bay Tan Son Nhat - DH Mo (co so Nha Be),10,157.3007,1296.2682
